name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Cinderella,1950.123287671233,920608730.0,4.694,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,15,1,2900000.0,74.0
One Magic Christmas,1985.8821917808216,31415432.0,1.255,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,22,4,0.0,88.0
Beverly Hills Chihuahua,2008.7479452054797,110932022.0,8.105,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,4,20000000.0,91.0
WALL-E,2008.4849315068493,262771918.0,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,27,2,0.0,44.0
Aladdin,1992.8520547945209,441969178.0,4.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,11,4,28000000.0,90.0
Casanova,2005.972602739726,14574087.0,7.414,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,25,4,0.0,112.0
Thor: The Dark World,2013.8438356164384,213962184.0,5.834,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,4,170000000.0,112.0
Monkey Kingdom,2015.293150684932,16432322.0,1.121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,17,2,0.0,81.0
Ernest Saves Christmas,1988.8520547945209,57845202.0,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,11,4,6000000.0,95.0
Hannah Montana/Miley Cyrus: Best of B…,2008.0849315068488,76646993.0,3.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,,
Saving Mr. Banks,2013.9397260273968,86249969.0,7.29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,13,4,35000000.0,125.0
The Aristocats,1970.3123287671235,255161499.0,3.395,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,24,2,4000000.0,78.0
Calendar Girls,2003.9561643835616,42379650.0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,19,4,10000000.0,108.0
Unstrung Heroes,1995.6986301369864,15365850.0,13.616,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,15,3,0.0,93.0
Three Fugitives,1989.07397260274,85757817.0,3.707,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27,1,15000000.0,96.0
Tomorrowland,2015.3890410958904,93436322.0,14.191,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,22,2,190000000.0,130.0
The Village,2004.5753424657532,155021748.0,16.355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,30,3,60000000.0,108.0
"Alexander and the Terrible, Horrible,…",2014.7671232876712,69055550.0,2.027,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10,4,28000000.0,81.0
Arachnophobia,1990.5424657534247,106290270.0,3.561,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,18,3,31000000.0,109.0
Lincoln,2012.8465753424657,192122330.0,30.112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,9,4,65000000.0,149.0
The Horse Whisperer,1998.3698630136987,135497531.0,18.069,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,15,2,60000000.0,170.0
Muppets Most Wanted,2014.2219178082191,52807594.0,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,21,1,50000000.0,107.0
Fantasia 2000 (IMAX),2000.0027397260276,94852354.0,3.075,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,
Spaced Invaders,1990.3205479452056,29964452.0,4.074,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,27,2,3000000.0,100.0
Just Visiting,2001.2630136986304,7114869.0,1.105,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,35000000.0,88.0
Holes,2003.295890410959,94203395.0,3.497,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,18,2,20000000.0,117.0
The Last Shot,2004.7232876712328,629502.0,2.625,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,24,3,0.0,90.0
The Jungle Book,1967.7890410958903,789612346.0,3.395,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,18,4,4000000.0,78.0
Meet the Robinsons,2007.2465753424656,119860589.0,1.922,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,30,1,150000000.0,95.0
Dead Poets Society,1989.4164383561645,202531517.0,5.072,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,2,16400000.0,128.0
Avengers: Age of Ultron,2015.331506849315,459005868.0,7.629,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,365000000.0,141.0
Man of the House,1995.172602739726,77573459.0,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0.0,96.0
